paper_id,claim_id,table_figure,claim,value_script,value_paper,match,value_rewrite,match_rewrite,defect_locus,notes
coppock_ekins_kirby_2018,t4_amtrak_op_ed_veterans_std_error,table_4,Amtrak / Op-ed: Veterans / std.error,0.05785,0.058,1,0.0578513781952525,1,,
coppock_ekins_kirby_2018,t4_amtrak_op_ed_wall_street_estimate,table_4,Amtrak / Op-ed: Wall Street / estimate,0.05468,0.055,1,0.054682652810393,1,,
coppock_ekins_kirby_2018,t4_amtrak_op_ed_wall_street_std_error,table_4,Amtrak / Op-ed: Wall Street / std.error,0.05527,0.055,1,0.0552731279966578,1,,
coppock_ekins_kirby_2018,t4_amtrak_constant_estimate,table_4,Amtrak / Constant / estimate,-0.12532,-0.125,1,-0.125322409220226,1,,
coppock_ekins_kirby_2018,t4_amtrak_constant_std_error,table_4,Amtrak / Constant / std.error,0.03916,0.039,1,0.0391608825446749,1,,
coppock_ekins_kirby_2018,t4_climate_op_ed_amtrak_estimate,table_4,Climate / Op-ed: Amtrak / estimate,0.01828,0.018,1,0.0182842514549041,1,,
coppock_ekins_kirby_2018,t4_climate_op_ed_amtrak_std_error,table_4,Climate / Op-ed: Amtrak / std.error,0.05645,0.056,1,0.0564483838031654,1,,
coppock_ekins_kirby_2018,t4_climate_op_ed_climate_estimate,table_4,Climate / Op-ed: Climate / estimate,0.27576,0.276,1,0.275759845370862,1,,
coppock_ekins_kirby_2018,t4_climate_op_ed_climate_std_error,table_4,Climate / Op-ed: Climate / std.error,0.05747,0.057,1,0.0574708802564248,1,,
coppock_ekins_kirby_2018,t4_climate_op_ed_flat_tax_estimate,table_4,Climate / Op-ed: Flat Tax / estimate,0.11026,0.110,1,0.110260017729976,1,,
coppock_ekins_kirby_2018,t4_climate_op_ed_flat_tax_std_error,table_4,Climate / Op-ed: Flat Tax / std.error,0.05592,0.056,1,0.0559187965295583,1,,
coppock_ekins_kirby_2018,t4_climate_op_ed_veterans_estimate,table_4,Climate / Op-ed: Veterans / estimate,0.0034,0.003,1,0.00339590600157249,1,,
coppock_ekins_kirby_2018,t4_climate_op_ed_veterans_std_error,table_4,Climate / Op-ed: Veterans / std.error,0.05688,0.057,1,0.0568791212976457,1,,
coppock_ekins_kirby_2018,t4_climate_op_ed_wall_street_estimate,table_4,Climate / Op-ed: Wall Street / estimate,0.06694,0.067,1,0.0669424305275097,1,,
coppock_ekins_kirby_2018,t4_climate_op_ed_wall_street_std_error,table_4,Climate / Op-ed: Wall Street / std.error,0.05664,0.057,1,0.0566363600149176,1,,
coppock_ekins_kirby_2018,t4_climate_constant_estimate,table_4,Climate / Constant / estimate,-0.07907,-0.079,1,-0.0790714207400969,1,,
coppock_ekins_kirby_2018,t4_climate_constant_std_error,table_4,Climate / Constant / std.error,0.0388,0.039,1,0.0388001815693145,1,,
coppock_ekins_kirby_2018,t4_flat_tax_op_ed_amtrak_estimate,table_4,Flat Tax / Op-ed: Amtrak / estimate,0.00464,0.005,1,0.0046384909500592,1,,
coppock_ekins_kirby_2018,t4_flat_tax_op_ed_amtrak_std_error,table_4,Flat Tax / Op-ed: Amtrak / std.error,0.05645,0.056,1,0.0564515252813242,1,,
coppock_ekins_kirby_2018,t4_flat_tax_op_ed_climate_estimate,table_4,Flat Tax / Op-ed: Climate / estimate,0.045469999999999997,0.045,1,0.0454745683804956,1,,
coppock_ekins_kirby_2018,t4_flat_tax_op_ed_climate_std_error,table_4,Flat Tax / Op-ed: Climate / std.error,0.0566,0.057,1,0.056602308645641,1,,
coppock_ekins_kirby_2018,t4_flat_tax_op_ed_flat_tax_estimate,table_4,Flat Tax / Op-ed: Flat Tax / estimate,0.48799,0.488,1,0.487992681648237,1,,
coppock_ekins_kirby_2018,t4_flat_tax_op_ed_flat_tax_std_error,table_4,Flat Tax / Op-ed: Flat Tax / std.error,0.05986,0.060,1,0.059864648276156,1,,
coppock_ekins_kirby_2018,t4_flat_tax_op_ed_veterans_estimate,table_4,Flat Tax / Op-ed: Veterans / estimate,-0.02569,-0.026,1,-0.0256895803767638,1,,
coppock_ekins_kirby_2018,t4_flat_tax_op_ed_veterans_std_error,table_4,Flat Tax / Op-ed: Veterans / std.error,0.05722,0.057,1,0.0572235543669812,1,,
coppock_ekins_kirby_2018,t4_flat_tax_op_ed_wall_street_estimate,table_4,Flat Tax / Op-ed: Wall Street / estimate,0.09694,0.097,1,0.0969384867042603,1,,
coppock_ekins_kirby_2018,t4_flat_tax_op_ed_wall_street_std_error,table_4,Flat Tax / Op-ed: Wall Street / std.error,0.05661,0.057,1,0.0566088891083111,1,,
coppock_ekins_kirby_2018,t4_flat_tax_constant_estimate,table_4,Flat Tax / Constant / estimate,-0.10125,-0.101,1,-0.101252523717593,1,,
coppock_ekins_kirby_2018,t4_flat_tax_constant_std_error,table_4,Flat Tax / Constant / std.error,0.03941,0.039,1,0.0394124579499793,1,,
coppock_ekins_kirby_2018,t4_veterans_op_ed_amtrak_estimate,table_4,Veterans / Op-ed: Amtrak / estimate,0.05108,0.051,1,0.0510826772253188,1,,
coppock_ekins_kirby_2018,t4_veterans_op_ed_amtrak_std_error,table_4,Veterans / Op-ed: Amtrak / std.error,0.05584,0.056,1,0.0558394991432685,1,,
