study,Z,dv,wave,estimate,std.error,conf.low,conf.high
MTurk Study,climate,wall,w2,-0.037291975095013835,0.05172533929734024,-0.13901092246363778,0.0644269722736101
MTurk Study,climate,wall,w3,-0.04712930714467534,0.052981519991068746,-0.15131855977579994,0.05705994548644925
MTurk Study,paul,amtrak,w1,-0.06100406139769002,0.04882820102514056,-0.15703112518677437,0.03502300239139433
MTurk Study,paul,amtrak,w2,-0.04537144007361482,0.04851985184705257,-0.1407920947472308,0.05004921460000117
MTurk Study,paul,amtrak,w3,-0.05951276727182908,0.04887770604765913,-0.15563718918297126,0.03661165463931311
MTurk Study,paul,climate,w1,-0.03066168187539243,0.05164190192784453,-0.13222225765948645,0.07089889390870158
MTurk Study,paul,climate,w2,-4.537873707891106e-4,0.05394942455951852,-0.10655240916711332,0.10564483442553511
MTurk Study,paul,climate,w3,-0.01101118295018623,0.053740942156580505,-0.1166997967473314,0.09467743084695894
MTurk Study,paul,flat,w1,0.36823555375213685,0.059319024543702505,0.2515769090719546,0.48489419843231907
MTurk Study,paul,flat,w2,0.16684733320081926,0.057152908370848014,0.05444864017845398,0.27924602622318456
MTurk Study,paul,flat,w3,0.13488019359284614,0.0576573211843568,0.021489506591552576,0.2482708805941397
MTurk Study,paul,vets,w1,-0.04274497943885992,0.05175211455382423,-0.1445223028123207,0.059032343934600856
MTurk Study,paul,vets,w2,-0.042812647666966526,0.05389666671615508,-0.14880751424225716,0.06318221890832412
MTurk Study,paul,vets,w3,0.010839072789306889,0.05216449237707796,-0.0917492456793531,0.11342739125796687
MTurk Study,paul,wall,w1,-0.162963651528811,0.052163356558507935,-0.2655497362612287,-0.060377566796393334
MTurk Study,paul,wall,w2,-0.08304898189613173,0.054189021022090354,-0.18961880157220537,0.023520837779941905
MTurk Study,paul,wall,w3,-0.05768826803579875,0.05208561354851751,-0.16012146093884794,0.04474492486725045
MTurk Study,veterans,amtrak,w1,-0.07873611669927268,0.05268633600352076,-0.18232172424979715,0.02484949085125178
MTurk Study,veterans,amtrak,w2,-0.02849795663087817,0.05441804705972362,-0.13548824849740337,0.07849233523564704
MTurk Study,veterans,amtrak,w3,-0.02645675871220879,0.05350135882939473,-0.1316447672074499,0.07873124978303231
MTurk Study,veterans,climate,w1,-0.06466908837259837,0.05312022280421192,-0.16910775254590152,0.03976957580070478
MTurk Study,veterans,climate,w2,-0.028675774136040402,0.052265916910675975,-0.13143480366915902,0.07408325539707822
MTurk Study,veterans,climate,w3,-0.056022332618231536,0.051509463340995716,-0.15729411311217126,0.04524944787570819
MTurk Study,veterans,flat,w1,-0.12658912954439733,0.053043139593136564,-0.2308762418760493,-0.022302017212745356
MTurk Study,veterans,flat,w2,-0.03600358438728034,0.05490441920893172,-0.1439501233264433,0.07194295455188263
MTurk Study,veterans,flat,w3,-0.0781074888807291,0.05411124603300786,-0.18449458505819838,0.028279607296740172
MTurk Study,veterans,vets,w1,0.4933697889531729,0.045772646813031156,0.40337705480277447,0.5833625231035713
MTurk Study,veterans,vets,w2,0.26209743855848816,0.049393619585067626,0.16498557840756012,0.3592092987094162
MTurk Study,veterans,vets,w3,0.29506339390818725,0.04865434511104983,0.1994050073017587,0.3907217805146158
MTurk Study,veterans,wall,w1,-0.17520866699456547,0.046955717905123616,-0.26752741481654796,-0.082889919172583
MTurk Study,veterans,wall,w2,-0.09578301445078866,0.04768229256739067,-0.1895302669578705,-0.0020357619437067903
MTurk Study,veterans,wall,w3,-0.06332431883329559,0.04980470526281615,-0.1612444067509458,0.03459576908435463
MTurk Study,wallstreet,amtrak,w1,-0.09142828876454318,0.04930579988128265,-0.18836517302125627,0.005508595492169935
MTurk Study,wallstreet,amtrak,w2,-0.05672641434896704,0.0481270827056162,-0.15134590043540214,0.03789307173746806
MTurk Study,wallstreet,amtrak,w3,-0.03817804730861621,0.04776342830396602,-0.13208257643811955,0.055726481820887144
MTurk Study,wallstreet,climate,w1,-0.050226078307330335,0.049479981904462116,-0.14750541036250128,0.04705325374784061
MTurk Study,wallstreet,climate,w2,-0.05621740556169412,0.049588728645880965,-0.15371053741955756,0.041275726296169324
MTurk Study,wallstreet,climate,w3,-0.019341688831253413,0.049471367853519146,-0.11660408536846804,0.07792070770596123
MTurk Study,wallstreet,flat,w1,-0.05303128935847933,0.05184697545264667,-0.15496421146125552,0.048901632744296854
MTurk Study,wallstreet,flat,w2,-0.0167021506094482,0.0536461404823224,-0.12217229252531599,0.08876799130641959
MTurk Study,wallstreet,flat,w3,-0.06945240258352425,0.05403226737281385,-0.17568168313586274,0.03677687796881424
MTurk Study,wallstreet,vets,w1,-0.2150000473588279,0.050651385870370165,-0.31458239956445766,-0.11541769515319816
MTurk Study,wallstreet,vets,w2,-0.13906026018965592,0.05156987270122344,-0.24044838883189387,-0.03767213154741797
MTurk Study,wallstreet,vets,w3,-0.12483386053150987,0.05069149014286742,-0.22449505910471962,-0.025172661958300105
MTurk Study,wallstreet,wall,w1,0.5562412496370668,0.0504282619437282,0.4570975666813807,0.6553849325927529
MTurk Study,wallstreet,wall,w2,0.2859702306079917,0.05029500042732007,0.18708854433876104,0.38485191687722237
MTurk Study,wallstreet,wall,w3,0.3220637977823948,0.05143399799735762,0.22094280344228295,0.42318479212250665
