dv,term,estimate,std.error,p.value,conf.low,conf.high,nobs,r_squared
Veterans,Z_matchamtrak:experimental_sampleelite,0.08002514470282225,0.08580165496057363,0.3510308144865735,-0.08818237303144276,0.24823266243708725,5182,0.045094292159256866
Veterans,Z_matchflat:experimental_sampleelite,-0.04841280545404248,0.0836430242929735,0.5627475364451628,-0.21238849448443317,0.11556288357634822,5182,0.045094292159256866
Veterans,Z_matchvets:experimental_sampleelite,-0.4929579449278446,0.08296322232512796,3.0018758834967863e-9,-0.6556009347041858,-0.33031495515150344,5182,0.045094292159256866
Veterans,Z_matchwall:experimental_sampleelite,0.08148273401876849,0.08577684115542136,0.3421878282668729,-0.08667613816696809,0.24964160620450507,5182,0.045094292159256866
Wall Street,(Intercept),-0.09579761267024045,0.03830919420093626,0.01242751267966674,-0.1708998291239953,-0.020695396216485612,5182,0.07562258882506767
Wall Street,Z_matchamtrak,-0.03393623220395408,0.05397276352990136,0.5295301071577514,-0.13974566656503787,0.07187320215712972,5182,0.07562258882506767
Wall Street,Z_matchflat,-0.023393977223613728,0.05571650461153759,0.6745940833087436,-0.13262188129892472,0.08583392685169727,5182,0.07562258882506767
Wall Street,Z_matchvets,-0.08988817252096014,0.05378674252620496,0.09474352893592516,-0.19533292707146702,0.01555658202954674,5182,0.07562258882506767
Wall Street,Z_matchwall,0.697642537658945,0.055661374268216296,1.595931113529314e-35,0.5885227123637715,0.8067623629541185,5182,0.07562258882506767
Wall Street,experimental_sampleelite,-0.027362561053729213,0.058297281735876894,0.6388302948679185,-0.14164987935723852,0.0869247572497801,5182,0.07562258882506767
Wall Street,Z_matchamtrak:experimental_sampleelite,0.04424248338416414,0.08264861725657892,0.5924597652143888,-0.11778374745353457,0.20626871422186285,5182,0.07562258882506767
Wall Street,Z_matchflat:experimental_sampleelite,-0.015611743619447213,0.08347144141357095,0.851643696572647,-0.17925105766682314,0.1480275704279287,5182,0.07562258882506767
Wall Street,Z_matchvets:experimental_sampleelite,0.15563660679044997,0.08302968263584394,0.060922064275620615,-0.007136673292045814,0.31840988687294575,5182,0.07562258882506767
Wall Street,Z_matchwall:experimental_sampleelite,-0.1270002274787043,0.08198117744952789,0.12140952801063686,-0.2877179941238105,0.03371753916640188,5182,0.07562258882506767
